Planning Area Code,Planning Area Name,lon,lat
AM,ANG MO KIO,103.8421,1.38009
BD,BEDOK,103.92841,1.32405
BK,BUKIT BATOK,103.75474,1.35565
BL,BOON LAY,103.70223,1.3148
BM,BUKIT MERAH,103.82311,1.27548
BP,BUKIT PANJANG,103.77304,1.36674
BS,BISHAN,103.84042,1.35496
BT,BUKIT TIMAH,103.79069,1.32999
CB,CHANGI BAY,104.02612,1.32718
CC,CENTRAL WATER CATCHMENT,103.80119,1.37666
CH,CHANGI,103.99782,1.35081
CK,CHOA CHU KANG,103.74719,1.38555
CL,CLEMENTI,103.76074,1.3176
DT,DOWNTOWN CORE,103.8543,1.28508
GL,GEYLANG,103.88953,1.3209
HG,HOUGANG,103.8898,1.36364
JE,JURONG EAST,103.73479,1.32044
JW,JURONG WEST,103.70487,1.3416
KL,KALLANG,103.86643,1.31033
LK,LIM CHU KANG,103.71929,1.43064
MD,MANDAI,103.80247,1.42363
ME,MARINA EAST,103.87231,1.28856
MP,MARINE PARADE,103.89627,1.30023
MS,MARINA SOUTH,103.86563,1.28053
MU,MUSEUM,103.84671,1.29592
NE,NORTH-EASTERN ISLANDS,104.03482,1.40164
NT,NEWTON,103.83808,1.30866
NV,NOVENA,103.83531,1.32699
OR,ORCHARD,103.83358,1.30381
OT,OUTRAM,103.84206,1.28286
PG,PUNGGOL,103.91004,1.40536
PL,PAYA LEBAR,103.91477,1.35939
PN,PIONEER,103.67299,1.31259
PR,PASIR RIS,103.9483,1.37862
QT,QUEENSTOWN,103.78434,1.28916
RC,ROCHOR,103.85325,1.30426
RV,RIVER VALLEY,103.83397,1.29805
SB,SEMBAWANG,103.81883,1.45575
SE,SENGKANG,103.8877,1.39127
SG,SERANGOON,103.86782,1.3652
SI,SOUTHERN ISLANDS,103.83581,1.24299
SK,SUNGEI KADUT,103.75747,1.41807
SL,SELETAR,103.87709,1.41434
SM,SIMPANG,103.85295,1.44482
SR,SINGAPORE RIVER,103.84121,1.29011
SV,STRAITS VIEW,103.85878,1.27124
TH,TENGAH,103.72874,1.36388
TM,TAMPINES,103.95422,1.34373
TN,TANGLIN,103.8175,1.30828
TP,TOA PAYOH,103.86106,1.33668
TS,TUAS,103.63072,1.28389
WC,WESTERN WATER CATCHMENT,103.68972,1.38214
WD,WOODLANDS,103.78771,1.44068
WI,WESTERN ISLANDS,103.70913,1.24913
YS,YISHUN,103.83756,1.41544