ubzone Code,Subzone Name
SBSZ05,ADMIRALTY
PLSZ04,AIRPORT ROAD
BMSZ07,ALEXANDRA HILL
BMSZ06,ALEXANDRA NORTH
GLSZ04,ALJUNIED
BTSZ01,ANAK BUKIT
SESZ04,ANCHORVALE
AMSZ01,ANG MO KIO TOWN CENTRE
DTSZ10,ANSON
NVSZ01,BALESTIER
BPSZ04,BANGKIT
DTSZ12,BAYFRONT SUBZONE
BDSZ08,BAYSHORE
BDSZ04,BEDOK NORTH
BDSZ02,BEDOK RESERVOIR
BDSZ06,BEDOK SOUTH
RCSZ09,BENCOOLEN
KLSZ01,BENDEMEER
PNSZ03,BENOI SECTOR
TPSZ10,BIDADARI
BSSZ03,BISHAN EAST
SRSZ03,BOAT QUAY
KLSZ03,BOON KENG
JWSZ02,BOON LAY PLACE
TPSZ04,BOON TECK
ORSZ02,BOULEVARD
TPSZ03,BRADDELL
MUSZ03,BRAS BASAH
BKSZ03,BRICKWORKS
DTSZ01,BUGIS
BKSZ07,BUKIT BATOK CENTRAL
BKSZ08,BUKIT BATOK EAST
BKSZ09,BUKIT BATOK SOUTH
BKSZ06,BUKIT BATOK WEST
BMSZ09,BUKIT HO SWEE
BMSZ02,BUKIT MERAH
NTSZ04,CAIRNHILL
DTSZ08,CECIL
DTSZ11,CENTRAL SUBZONE
CCSZ01,CENTRAL WATER CATCHMENT
CHSZ03,CHANGI AIRPORT
CBSZ01,CHANGI BAY
CHSZ01,CHANGI POINT
CHSZ02,CHANGI WEST
TNSZ02,CHATSWORTH
AMSZ02,CHENG SAN
JWSZ05,CHIN BEE
OTSZ04,CHINA SQUARE
OTSZ03,CHINATOWN
CKSZ03,CHOA CHU KANG CENTRAL
CKSZ05,CHOA CHU KANG NORTH
AMSZ03,CHONG BOON
DTSZ02,CITY HALL
BMSZ17,CITY TERMINALS
SRSZ02,CLARKE QUAY
CLSZ06,CLEMENTI CENTRAL
CLSZ04,CLEMENTI NORTH
CLSZ08,CLEMENTI WEST
CLSZ07,CLEMENTI WOODS
DTSZ06,CLIFFORD PIER
QTSZ03,COMMONWEALTH
SESZ05,COMPASSVALE
PGSZ07,CONEY ISLAND
BTSZ06,CORONATION ROAD
KLSZ09,CRAWFORD
BPSZ06,DAIRY FARM
HGSZ09,DEFU INDUSTRIAL PARK
BMSZ12,DEPOT ROAD
MUSZ01,DHOBY GHAUT
QTSZ10,DOVER
NVSZ04,DUNEARN
MPSZ04,EAST COAST
BMSZ16,EVERTON PARK
CLSZ03,FABER
BPSZ03,FAJAR
BTSZ08,FARRER COURT
RCSZ01,FARRER PARK
SESZ06,FERNVALE
PRSZ08,FLORA DRIVE
MUSZ02,FORT CANNING
BDSZ05,FRANKEL
SKSZ03,GALI BATU
KLSZ02,GEYLANG BAHRU
GLSZ05,GEYLANG EAST
QTSZ01,GHIM MOH
BKSZ01,GOMBAK
NTSZ02,GOODWOOD PARK
WDSZ07,GREENWOOD PARK
BKSZ04,GUILIN
PNSZ04,GUL BASIN
PNSZ02,GUL CIRCLE
BMSZ08,HENDERSON HILL
BTSZ05,HILLCREST
BKSZ05,HILLVIEW
QTSZ02,HOLLAND DRIVE
BTSZ03,HOLLAND ROAD
JWSZ03,HONG KAH
BKSZ02,HONG KAH NORTH
HGSZ01,HOUGANG CENTRAL
HGSZ03,HOUGANG EAST
HGSZ04,HOUGANG WEST
RVSZ05,INSTITUTION HILL
JESZ06,INTERNATIONAL BUSINESS PARK
NTSZ06,ISTANA NEGARA
BPSZ05,JELEBU
PNSZ01,JOO KOON
TPSZ12,JOO SENG
JESZ05,JURONG GATEWAY
WISZ01,JURONG ISLAND AND BUKOM
JESZ09,JURONG PORT
JESZ07,JURONG RIVER
JWSZ09,JURONG WEST CENTRAL
BDSZ01,KAKI BUKIT
KLSZ08,KALLANG BAHRU
GLSZ01,KALLANG WAY
KLSZ04,KAMPONG BUGIS
RCSZ05,KAMPONG GLAM
KLSZ07,KAMPONG JAVA
BMSZ11,KAMPONG TIONG BAHRU
GLSZ03,KAMPONG UBI
HGSZ02,KANGKAR
MPSZ02,KATONG
CKSZ02,KEAT HONG
AMSZ06,KEBUN BAHRU
BDSZ03,KEMBANGAN
QTSZ12,KENT RIDGE
YSSZ08,KHATIB
JWSZ06,KIAN TECK
TPSZ07,KIM KEAT
HGSZ06,KOVAN
SKSZ01,KRANJI
JESZ04,LAKESIDE
KLSZ06,LAVENDER
BTSZ07,LEEDON PARK
RVSZ03,LEONIE HILL
LKSZ01,LIM CHU KANG
RCSZ02,LITTLE INDIA
BLSZ02,LIU FANG
TPSZ05,LORONG 8 TOA PAYOH
HGSZ07,LORONG AH SOO
SGSZ05,LORONG CHUAN
HGSZ10,LORONG HALUS
SESZ01,LORONG HALUS NORTH
YSSZ05,LOWER SELETAR
PRSZ07,LOYANG EAST
PRSZ06,LOYANG WEST
RCSZ06,MACKENZIE
GLSZ02,MACPHERSON
NVSZ03,MALCOLM
MDSZ02,MANDAI EAST
MDSZ03,MANDAI ESTATE
MDSZ01,MANDAI WEST
QTSZ05,MARGARET DRIVE
DTSZ03,MARINA CENTRE
MESZ01,MARINA EAST
MPSZ05,MARINA EAST (MP)
MSSZ01,MARINA SOUTH
MPSZ03,MARINE PARADE
BMSZ01,MARITIME SQUARE
BSSZ02,MARYMOUNT
PGSZ03,MATILDA
DTSZ07,MAXWELL
QTSZ06,MEI CHIN
WDSZ02,MIDVIEW
NTSZ05,MONK'S HILL
NVSZ02,MOULMEIN
RCSZ07,MOUNT EMILY
NVSZ05,MOUNT PLEASANT
MPSZ01,MOUNTBATTEN
TNSZ01,NASSIM
QTSZ11,NATIONAL UNIVERSITY OF S'PORE
BPSZ07,NATURE RESERVE
YSSZ07,NEE SOON
NTSZ03,NEWTON CIRCUS
WDSZ09,NORTH COAST
NESZ01,NORTH-EASTERN ISLANDS
YSSZ02,NORTHLAND
PGSZ01,NORTHSHORE
QTSZ08,ONE NORTH
RVSZ01,ONE TREE HILL
NTSZ01,ORANGE GROVE
RVSZ04,OXLEY
CLSZ09,PANDAN
SKSZ04,PANG SUA
QTSZ13,PASIR PANJANG 1
QTSZ14,PASIR PANJANG 2
PRSZ03,PASIR RIS CENTRAL
PRSZ05,PASIR RIS DRIVE
PRSZ04,PASIR RIS PARK
PRSZ01,PASIR RIS WAFER FAB PARK
PRSZ02,PASIR RIS WEST
RVSZ02,PATERSON
PLSZ02,PAYA LEBAR EAST
PLSZ01,PAYA LEBAR NORTH
PLSZ03,PAYA LEBAR WEST
OTSZ01,PEARL'S HILL
TPSZ06,PEI CHUN
CKSZ04,PENG SIANG
JESZ10,PENJURU CRESCENT
OTSZ02,PEOPLE'S PARK
DTSZ04,PHILLIP
PNSZ05,PIONEER SECTOR
PLSZ05,PLAB
QTSZ15,PORT
TPSZ09,POTONG PASIR
SLSZ02,PULAU PUNGGOL BARAT
SLSZ03,PULAU PUNGGOL TIMOR
SMSZ04,PULAU SELETAR
PGSZ06,PUNGGOL CANAL
PGSZ04,PUNGGOL FIELD
PGSZ02,PUNGGOL TOWN CENTRE
QTSZ07,QUEENSWAY
DTSZ05,RAFFLES PLACE
BMSZ03,REDHILL
SKSZ05,RESERVOIR VIEW
TNSZ03,RIDOUT
SESZ02,RIVERVALE
SRSZ01,ROBERTSON QUAY
RCSZ04,ROCHOR CANAL
JWSZ07,SAFTI
BLSZ03,SAMULUN
BPSZ02,SAUJANA
RCSZ08,SELEGIE
SLSZ04,SELETAR
SLSZ01,SELETAR AEROSPACE PARK
SGSZ01,SELETAR HILLS
WISZ02,SEMAKAU
SBSZ03,SEMBAWANG CENTRAL
SBSZ01,SEMBAWANG EAST
AMSZ07,SEMBAWANG HILLS
SBSZ04,SEMBAWANG NORTH
SBSZ02,SEMBAWANG SPRINGS
SBSZ06,SEMBAWANG STRAITS
SESZ03,SENGKANG TOWN CENTRE
SESZ07,SENGKANG WEST
BPSZ01,SENJA
TPSZ11,SENNETT
SBSZ08,SENOKO NORTH
SBSZ09,SENOKO SOUTH
WDSZ08,SENOKO WEST
SISZ01,SENTOSA
SGSZ06,SERANGOON CENTRAL
SGSZ04,SERANGOON GARDEN
SGSZ03,SERANGOON NORTH
SGSZ02,SERANGOON NORTH IND ESTATE
AMSZ05,SHANGRI-LA
BLSZ04,SHIPYARD
BDSZ07,SIGLAP
TMSZ04,SIMEI
SMSZ01,SIMPANG NORTH
SMSZ03,SIMPANG SOUTH
BMSZ05,SINGAPORE GENERAL HOSPITAL
QTSZ09,SINGAPORE POLYTECHNIC
ORSZ03,SOMERSET
SISZ02,SOUTHERN GROUP
YSSZ06,SPRINGLEAF
SVSZ01,STRAITS VIEW
WISZ03,SUDONG
RCSZ03,SUNGEI ROAD
CLSZ02,SUNSET WAY
BTSZ02,SWISS CLUB
AMSZ08,TAGORE
HGSZ08,TAI SENG
JWSZ04,TAMAN JURONG
TMSZ02,TAMPINES EAST
TMSZ01,TAMPINES NORTH
TMSZ03,TAMPINES WEST
ORSZ01,TANGLIN
QTSZ04,TANGLIN HALT
SMSZ02,TANJONG IRAU
DTSZ09,TANJONG PAGAR
KLSZ05,TANJONG RHU
JESZ08,TEBAN GARDENS
CKSZ01,TECK WHYE
BMSZ13,TELOK BLANGAH DRIVE
BMSZ15,TELOK BLANGAH RISE
BMSZ14,TELOK BLANGAH WAY
THSZ01,TENGAH
TSSZ01,TENGEH
SBSZ07,THE WHARVES
BMSZ10,TIONG BAHRU
BMSZ04,TIONG BAHRU STATION
TPSZ02,TOA PAYOH CENTRAL
TPSZ01,TOA PAYOH WEST
JESZ03,TOH GUAN
CLSZ01,TOH TUCK
AMSZ04,TOWNSVILLE
HGSZ05,TRAFALGAR
TSSZ04,TUAS BAY
TSSZ03,TUAS NORTH
TSSZ02,TUAS PROMENADE
TSSZ05,TUAS VIEW
TSSZ06,TUAS VIEW EXTENSION
BLSZ01,TUKANG
SKSZ02,TURF CLUB
TNSZ04,TYERSALL
BTSZ04,ULU PANDAN
SGSZ07,UPPER PAYA LEBAR
BSSZ01,UPPER THOMSON
RCSZ10,VICTORIA
PGSZ05,WATERWAY EAST
JWSZ01,WENYA
CLSZ05,WEST COAST
WCSZ01,WESTERN WATER CATCHMENT
WDSZ05,WOODGROVE
WDSZ03,WOODLANDS EAST
WDSZ01,WOODLANDS REGIONAL CENTRE
WDSZ04,WOODLANDS SOUTH
WDSZ06,WOODLANDS WEST
TPSZ08,WOODLEIGH
TMSZ05,XILIN
CKSZ06,YEW TEE
AMSZ10,YIO CHU KANG
AMSZ12,YIO CHU KANG EAST
AMSZ11,YIO CHU KANG NORTH
AMSZ09,YIO CHU KANG WEST
YSSZ01,YISHUN CENTRAL
YSSZ03,YISHUN EAST
YSSZ04,YISHUN SOUTH
YSSZ09,YISHUN WEST
JESZ02,YUHUA EAST
JESZ01,YUHUA WEST
JWSZ08,YUNNAN
